Tracking Number,Organization Name,Attachment Files
mbz-rr5o-lorm,ADVION Advocates,"https://downloads.regulations.gov/CMS-2025-0050-0839/attachment_1.pdf,https://downloads.regulations.gov/CMS-2025-0050-0839/attachment_1.docx"
mbz-ru1i-c15g,"Foundation Health Global, Inc.",https://downloads.regulations.gov/CMS-2025-0050-0840/attachment_1.pdf
mbz-rxqc-w45y,Zus Health,
mbz-s0s9-8wep,WeightWatchers International,https://downloads.regulations.gov/CMS-2025-0050-0842/attachment_1.pdf
mbz-sug2-crqa,Manifest MedEx,https://downloads.regulations.gov/CMS-2025-0050-0843/attachment_1.pdf
mbz-sv0j-x27e,Machinify,https://downloads.regulations.gov/CMS-2025-0050-0844/attachment_1.pdf
mbz-v0xk-xc41,ClearFile,
mbz-v1z9-4grn,Partnership to Empower Physician-Led Care,https://downloads.regulations.gov/CMS-2025-0050-0846/attachment_1.pdf
mbz-v392-4ldl,Parachute Health,https://downloads.regulations.gov/CMS-2025-0050-0847/attachment_1.pdf
mbz-v3rz-oxkn,"Flexion, Inc.",https://downloads.regulations.gov/CMS-2025-0050-0848/attachment_1.pdf
mbz-v4jj-ptuy,"Palantir Technologies Inc. (""Palantir"")",https://downloads.regulations.gov/CMS-2025-0050-0849/attachment_1.pdf
mbz-v72u-zqgw,American Medical Informatics Association (AMIA),https://downloads.regulations.gov/CMS-2025-0050-0850/attachment_1.pdf
mbz-s1wi-krma,,"https://downloads.regulations.gov/CMS-2025-0050-0851/attachment_1.docx,https://downloads.regulations.gov/CMS-2025-0050-0851/attachment_1.pdf"
mbz-s78z-2gqq,Cognizant Technology Solutions,https://downloads.regulations.gov/CMS-2025-0050-0852/attachment_1.pdf
mbz-vakh-ajdw,Phreesia,https://downloads.regulations.gov/CMS-2025-0050-0853/attachment_1.pdf
mbz-vatn-wxjk,Unite Us,https://downloads.regulations.gov/CMS-2025-0050-0854/attachment_1.pdf
mbz-vcbb-g787,Smarter Technologies,https://downloads.regulations.gov/CMS-2025-0050-0855/attachment_1.pdf
mbz-vf0h-bghn,Shatterproof,https://downloads.regulations.gov/CMS-2025-0050-0856/attachment_1.pdf
mbz-vfo6-j95t,,https://downloads.regulations.gov/CMS-2025-0050-0857/attachment_1.pdf
mbz-vi84-7bzw,Aldea ai,https://downloads.regulations.gov/CMS-2025-0050-0858/attachment_1.pdf
mbz-vo1c-afpz,Smile Digital Health,https://downloads.regulations.gov/CMS-2025-0050-0859/attachment_1.pdf
mbz-vp12-gnev,"McKinsey & Company, Inc. Washington D.C.","https://downloads.regulations.gov/CMS-2025-0050-0860/attachment_4.pdf,https://downloads.regulations.gov/CMS-2025-0050-0860/attachment_3.pdf,https://downloads.regulations.gov/CMS-2025-0050-0860/attachment_2.pdf,https://downloads.regulations.gov/CMS-2025-0050-0860/attachment_1.pdf"
mbz-vtuj-xbq6,,"https://downloads.regulations.gov/CMS-2025-0050-0861/attachment_1.pdf,https://downloads.regulations.gov/CMS-2025-0050-0861/attachment_1.docx"
mbz-vw3g-o1ga,National Association of ACOs,https://downloads.regulations.gov/CMS-2025-0050-0862/attachment_1.pdf
mbz-vzq1-wot3,Availity L.L.C.,https://downloads.regulations.gov/CMS-2025-0050-0863/attachment_1.pdf
mbz-w2px-e59r,Drive Health,https://downloads.regulations.gov/CMS-2025-0050-0864/attachment_1.pdf
mbz-w38z-zzgj,Metopio,https://downloads.regulations.gov/CMS-2025-0050-0865/attachment_1.pdf
mbz-w3q4-01ck,"Twilight Technologies, Inc",https://downloads.regulations.gov/CMS-2025-0050-0866/attachment_1.pdf
mbz-w6un-x4ub,Datavant,https://downloads.regulations.gov/CMS-2025-0050-0867/attachment_1.pdf
mbz-waho-08wx,"b.well Connected Health, Inc.",https://downloads.regulations.gov/CMS-2025-0050-0868/attachment_1.pdf
mbz-xg3b-7wcs,,
mbz-xib5-g4ys,STChealth LLC,https://downloads.regulations.gov/CMS-2025-0050-0870/attachment_1.pdf
mbz-xilv-0ibn,,"https://downloads.regulations.gov/CMS-2025-0050-0871/attachment_1.pdf,https://downloads.regulations.gov/CMS-2025-0050-0871/attachment_1.docx"
mbz-xn2y-ex7u,Doctronic Physicians Group,https://downloads.regulations.gov/CMS-2025-0050-0872/attachment_1.pdf
mbz-xpil-bvs1,"HiLabs, Inc.",https://downloads.regulations.gov/CMS-2025-0050-0873/attachment_1.pdf
mbz-xr37-qujo,Alliance for Connected Care,https://downloads.regulations.gov/CMS-2025-0050-0874/attachment_1.pdf
mbz-xwk6-iopz,The American Board of Family Medicine,https://downloads.regulations.gov/CMS-2025-0050-0875/attachment_1.pdf
mbz-y1ai-47kh,CommonWell Health Alliance,https://downloads.regulations.gov/CMS-2025-0050-0876/attachment_1.pdf
mbz-y5eg-nrn4,,
mbz-y5p8-tgl0,Click Therapeutics,https://downloads.regulations.gov/CMS-2025-0050-0878/attachment_1.pdf
mbz-y7p9-qnpw,RX for Life LLC,https://downloads.regulations.gov/CMS-2025-0050-0879/attachment_1.pdf
mbz-yd7w-ccp0,ChenMed,"https://downloads.regulations.gov/CMS-2025-0050-0880/attachment_1.pdf,https://downloads.regulations.gov/CMS-2025-0050-0880/attachment_2.pdf,https://downloads.regulations.gov/CMS-2025-0050-0880/attachment_3.pdf"
mbz-yeyw-7t3z,"RubyWell, Inc.",
mbz-yil6-9sxt,BelleTorus Corporation,https://downloads.regulations.gov/CMS-2025-0050-0882/attachment_1.pdf
mbz-yk7t-3wgy,"RubyWell, Inc.",
mbz-yllf-7q0r,"RubyWell, Inc.",
mbz-yoze-6wap,ICF,https://downloads.regulations.gov/CMS-2025-0050-0885/attachment_1.pdf
mbz-ys9g-dhip,Adherium,https://downloads.regulations.gov/CMS-2025-0050-0886/attachment_1.pdf
mbz-yt5s-wxbu,,
mbz-ywrp-8sfy,"Spring Care, Inc. d/b/a Spring Health",https://downloads.regulations.gov/CMS-2025-0050-0888/attachment_1.pdf
mbz-yyvl-zwvo,Jaan Health,https://downloads.regulations.gov/CMS-2025-0050-0889/attachment_1.pdf
mbz-z09u-rvie,NASDOH,"https://downloads.regulations.gov/CMS-2025-0050-0890/attachment_2.pdf,https://downloads.regulations.gov/CMS-2025-0050-0890/attachment_1.pdf"
mbz-z2he-83u3,Seen Health,"https://downloads.regulations.gov/CMS-2025-0050-0891/attachment_3.pdf,https://downloads.regulations.gov/CMS-2025-0050-0891/attachment_4.pdf,https://downloads.regulations.gov/CMS-2025-0050-0891/attachment_2.pdf,https://downloads.regulations.gov/CMS-2025-0050-0891/attachment_5.pdf,https://downloads.regulations.gov/CMS-2025-0050-0891/attachment_1.pdf"
mbz-z2qa-pmxb,Altera Digital Health,https://downloads.regulations.gov/CMS-2025-0050-0892/attachment_1.pdf
mbz-z2zl-n9ya,,https://downloads.regulations.gov/CMS-2025-0050-0893/attachment_1.pdf
mbz-z4jm-6b2s,Remo Health,https://downloads.regulations.gov/CMS-2025-0050-0894/attachment_1.pdf
mbz-z5xl-b8l9,"MedStartr, Inc.","https://downloads.regulations.gov/CMS-2025-0050-0895/attachment_1.pdf,https://downloads.regulations.gov/CMS-2025-0050-0895/attachment_1.docx"
mbz-z5xv-p79n,The Pharmacy Health Information Technology Collaborative,https://downloads.regulations.gov/CMS-2025-0050-0896/attachment_1.pdf
mbz-z78p-pgie,,
mbz-zaeh-c99g,Seen Health,https://downloads.regulations.gov/CMS-2025-0050-0898/attachment_1.pdf
mbz-zdkp-9muk,CareEvolution LLC,https://downloads.regulations.gov/CMS-2025-0050-0899/attachment_1.pdf
mbz-zdqe-290q,,
mbz-zduo-tldo,Zelis Healthcare,https://downloads.regulations.gov/CMS-2025-0050-0901/attachment_1.pdf
mbz-zei7-q6k0,Ainsley Advisory Group,https://downloads.regulations.gov/CMS-2025-0050-0902/attachment_1.pdf
mbz-zene-9k5p,Civitas Networks for Health,https://downloads.regulations.gov/CMS-2025-0050-0903/attachment_1.pdf
mbz-zff2-ue4n,,https://downloads.regulations.gov/CMS-2025-0050-0904/attachment_1.pdf
mbz-zgoc-2hd7,,
mbz-zi6w-ake5,,https://downloads.regulations.gov/CMS-2025-0050-0906/attachment_1.pdf
mbz-zib1-04el,Reveleer,https://downloads.regulations.gov/CMS-2025-0050-0907/attachment_1.pdf
mbz-zkfs-s882,,https://downloads.regulations.gov/CMS-2025-0050-0908/attachment_1.pdf
mbz-zlp4-pl2g,Open City Labs,https://downloads.regulations.gov/CMS-2025-0050-0909/attachment_1.pdf
mbz-zok1-sj12,,https://downloads.regulations.gov/CMS-2025-0050-0910/attachment_1.pdf
mbz-zpce-mr0b,Progress Federal Solutions,https://downloads.regulations.gov/CMS-2025-0050-0911/attachment_1.pdf
mbz-zpqc-277w,Ainsley Advisory Group,https://downloads.regulations.gov/CMS-2025-0050-0912/attachment_1.pdf
mbz-zr6h-erwi,,
mbz-zrcv-ebag,"AEGIS.net, Inc.",https://downloads.regulations.gov/CMS-2025-0050-0914/attachment_1.pdf
mbz-zrp7-cce0,,"https://downloads.regulations.gov/CMS-2025-0050-0915/attachment_1.pdf,https://downloads.regulations.gov/CMS-2025-0050-0915/attachment_1.png,https://downloads.regulations.gov/CMS-2025-0050-0915/attachment_2.pdf,https://downloads.regulations.gov/CMS-2025-0050-0915/attachment_2.docx"
mbz-zrwg-6vy2,CareSet,https://downloads.regulations.gov/CMS-2025-0050-0916/attachment_1.pdf
mbz-zsl3-kuk1,,
mbz-zt9f-11mm,Hera,
mbz-ztzm-cjkg,,https://downloads.regulations.gov/CMS-2025-0050-0919/attachment_1.pdf
mbz-zuac-nqrg,New Mountain Capital,https://downloads.regulations.gov/CMS-2025-0050-0920/attachment_1.pdf
mbz-zuq4-psmb,"F42, Inc",https://downloads.regulations.gov/CMS-2025-0050-0921/attachment_1.pdf
mbz-zv18-m6d4,,"https://downloads.regulations.gov/CMS-2025-0050-0922/attachment_1.pdf,https://downloads.regulations.gov/CMS-2025-0050-0922/attachment_1.docx"
mbz-zvly-cfck,"Global Alliant, Inc.",https://downloads.regulations.gov/CMS-2025-0050-0923/attachment_1.pdf
mc0-jmt1-q7b2,,https://downloads.regulations.gov/CMS-2025-0050-0924/attachment_1.pdf
mbz-s6ux-08zu,Findhelp,https://downloads.regulations.gov/CMS-2025-0050-0925/attachment_1.pdf
mbz-s7hh-wz2i,Zus Health,https://downloads.regulations.gov/CMS-2025-0050-0926/attachment_1.pdf
mbz-sd4u-rv4p,Kaiser Permanente,https://downloads.regulations.gov/CMS-2025-0050-0927/attachment_1.pdf
mbz-sicv-ajgt,,
mbz-smxi-mzvo,Xealth,https://downloads.regulations.gov/CMS-2025-0050-0929/attachment_1.pdf
mbz-sq1n-6240,"Ellipsis Health, Inc.","https://downloads.regulations.gov/CMS-2025-0050-0930/attachment_3.pdf,https://downloads.regulations.gov/CMS-2025-0050-0930/attachment_2.pdf,https://downloads.regulations.gov/CMS-2025-0050-0930/attachment_1.pdf"
mbz-ssga-bhos,AugMend Health Inc.,"https://downloads.regulations.gov/CMS-2025-0050-0931/attachment_2.pdf,https://downloads.regulations.gov/CMS-2025-0050-0931/attachment_1.pdf"
mbz-ssve-t2g0,,
mbz-st7z-7k25,Haven Healthcare Advocates,
mbz-stvn-59o3,"Velox Health Metadata, Inc.",https://downloads.regulations.gov/CMS-2025-0050-0934/attachment_1.pdf
mbz-sv9i-e2a3,Primary Record,https://downloads.regulations.gov/CMS-2025-0050-0935/attachment_1.pdf
mbz-t0ef-vad1,,
mbz-t93d-fzin,"JDMW Advisors, LLC",https://downloads.regulations.gov/CMS-2025-0050-0937/attachment_1.pdf
mbz-thno-7g2r,WiserCare,https://downloads.regulations.gov/CMS-2025-0050-0938/attachment_1.pdf
mbz-ti40-9lud,Ad Hoc LLC,https://downloads.regulations.gov/CMS-2025-0050-0939/attachment_1.pdf
mbz-tjda-8u87,Scene Health,https://downloads.regulations.gov/CMS-2025-0050-0940/attachment_1.pdf
mbz-tkgz-y3cm,CareQuest Institute for Oral Health,https://downloads.regulations.gov/CMS-2025-0050-0941/attachment_1.pdf
mbz-tkwk-qn7q,,"https://downloads.regulations.gov/CMS-2025-0050-0942/attachment_10.pdf,https://downloads.regulations.gov/CMS-2025-0050-0942/attachment_9.pdf,https://downloads.regulations.gov/CMS-2025-0050-0942/attachment_8.pdf,https://downloads.regulations.gov/CMS-2025-0050-0942/attachment_7.pdf,https://downloads.regulations.gov/CMS-2025-0050-0942/attachment_6.pdf,https://downloads.regulations.gov/CMS-2025-0050-0942/attachment_5.pdf,https://downloads.regulations.gov/CMS-2025-0050-0942/attachment_4.pdf,https://downloads.regulations.gov/CMS-2025-0050-0942/attachment_3.pdf,https://downloads.regulations.gov/CMS-2025-0050-0942/attachment_2.pdf,https://downloads.regulations.gov/CMS-2025-0050-0942/attachment_1.pdf"
mbz-tmpw-f7nj,Ad Hoc LLC,https://downloads.regulations.gov/CMS-2025-0050-0943/attachment_1.pdf
mbz-tmq6-7zbf,WiserCare,https://downloads.regulations.gov/CMS-2025-0050-0944/attachment_1.pdf
mbz-to27-6vaw,MISTR,https://downloads.regulations.gov/CMS-2025-0050-0945/attachment_1.pdf
mbz-tpet-ipzp,Cahir AI LLC,https://downloads.regulations.gov/CMS-2025-0050-0946/attachment_1.pdf
mbz-tq4r-y87p,Ascension,https://downloads.regulations.gov/CMS-2025-0050-0947/attachment_1.pdf
mbz-tr7l-in22,Ad Hoc LLC,https://downloads.regulations.gov/CMS-2025-0050-0948/attachment_1.pdf
mbz-tu0d-uzil,Ad Hoc LLC,https://downloads.regulations.gov/CMS-2025-0050-0949/attachment_1.pdf
mbz-tvgu-pi2e,Deloitte Consulting LLP,https://downloads.regulations.gov/CMS-2025-0050-0950/attachment_1.pdf
mbz-tvwi-jhdo,Drummond Group,https://downloads.regulations.gov/CMS-2025-0050-0951/attachment_1.pdf
mbz-twwa-92c0,Ad Hoc LLC,https://downloads.regulations.gov/CMS-2025-0050-0952/attachment_1.pdf
mbz-twwt-d9gp,NielsenIQ,https://downloads.regulations.gov/CMS-2025-0050-0953/attachment_1.pdf
mbz-tzbr-0pel,,
mbz-tzrz-g6at,Ad Hoc LLC,https://downloads.regulations.gov/CMS-2025-0050-0955/attachment_1.pdf
mbz-u00p-0ltq,The Sequoia Project,https://downloads.regulations.gov/CMS-2025-0050-0956/attachment_1.pdf
mbz-u01b-73dv,National Committee for Quality Assurance (NCQA),https://downloads.regulations.gov/CMS-2025-0050-0957/attachment_1.pdf
mbz-u32g-5wp3,JSL Health Capital,https://downloads.regulations.gov/CMS-2025-0050-0958/attachment_1.pdf
mbz-u8bj-pw61,Deloitte Consulting LLP and Thrive Global,https://downloads.regulations.gov/CMS-2025-0050-0959/attachment_1.pdf
mbz-u943-o1ih,Intermountain Health,https://downloads.regulations.gov/CMS-2025-0050-0960/attachment_1.pdf
mbz-ubr9-rdtz,"Noblis, Inc.","https://downloads.regulations.gov/CMS-2025-0050-0961/attachment_2.png,https://downloads.regulations.gov/CMS-2025-0050-0961/attachment_2.pdf,https://downloads.regulations.gov/CMS-2025-0050-0961/attachment_1.pdf"
mbz-uctn-m2xt,,
mbz-ucwj-ltxr,Epic,https://downloads.regulations.gov/CMS-2025-0050-0963/attachment_1.pdf
mbz-ujq6-r2ke,Kivo Health,"https://downloads.regulations.gov/CMS-2025-0050-0964/attachment_1.pdf,https://downloads.regulations.gov/CMS-2025-0050-0964/attachment_1.docx"
mbz-unld-lu9r,Deloitte Consulting LLP and Myant Corp.,https://downloads.regulations.gov/CMS-2025-0050-0965/attachment_1.pdf
mbz-uo87-7cox,Mediphore Inc.,https://downloads.regulations.gov/CMS-2025-0050-0966/attachment_1.pdf
mbz-uqlg-lepr,Fold Health Inc.,https://downloads.regulations.gov/CMS-2025-0050-0967/attachment_1.pdf
mbz-uqpq-uk6h,Aligning for Health,"https://downloads.regulations.gov/CMS-2025-0050-0968/attachment_1.pdf,https://downloads.regulations.gov/CMS-2025-0050-0968/attachment_1.docx"
